127.0.0.1 - - [16/Oct/2023:19:46:03 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [16/Oct/2023:19:46:05 +0530] "GET /mvc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2023:19:46:10 +0530] "GET /mvc/home HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/Oct/2023:19:46:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [16/Oct/2023:19:47:28 +0530] "GET /mvc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2023:19:47:29 +0530] "GET /mvc/home HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/Oct/2023:19:48:05 +0530] "GET /mvc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2023:19:48:05 +0530] "GET /mvc/home HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/Oct/2023:19:48:52 +0530] "GET /mvc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2023:19:48:52 +0530] "GET /mvc/home HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/Oct/2023:19:49:26 +0530] "GET /mvc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2023:19:49:26 +0530] "GET /mvc/home HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/Oct/2023:19:50:59 +0530] "GET /mvc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2023:19:50:59 +0530] "GET /mvc/home HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/Oct/2023:19:52:15 +0530] "GET /mvc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2023:19:52:15 +0530] "GET /mvc/home HTTP/1.1" 404 1046
